,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
8 55. Ciutat Meridiana (5),1.426,1.281,1.212,1.313,1.498,-,1.727,1.69,1.776,1.626,1.593
8 56. Vallbona (5),1.426,1.281,1.212,1.313,1.498,-,1.727,1.69,1.776,1.626,1.593
9 57. la Trinitat Vella,1.612,1.557,1.394,1.438,1.776,1.764,1.926,1.809,1.763,1.974,1.902
9 58. Baró de Viver,-,-,-,-,-,-,-,-,-,-,-
9 59. el Bon Pastor,-,1.879,-,1.827,-,2.339,2.414,2.38,2.3,2.235,2.144
9 60. Sant Andreu,2.33,2.379,2.391,2.757,3.21,3.206,3.317,3.161,3.294,3.371,3.5
9 61. la Sagrera,2.423,2.218,2.498,2.696,3.296,3.263,3.286,3.25,3.173,3.519,3.598
9 62. el Congrés i els Indians,-,-,2.216,2.473,-,2.828,3.272,3.271,3.007,3.274,3.274
9 63. Navas,-,2.362,2.401,2.72,3.029,3.279,3.56,3.503,3.424,3.377,3.636
10 64. el Camp de l'Arpa del Clot,2.482,2.602,2.619,3.159,3.561,3.654,3.605,3.555,3.741,3.725,3.852
10 65. el Clot,2.509,2.246,2.505,3.144,3.524,3.803,3.822,3.767,3.645,3.644,3.856
10 66. el Parc i la Llacuna del Poblenou,-,2.779,2.956,3.761,4.076,4.254,4.287,4.567,4.268,4.541,4.649
10 67. la Vila Olímpica del Poblenou,-,4.795,4.728,5.365,5.402,5.321,5.019,5.267,5.228,5.226,-
10 68. el Poblenou,3.446,3.304,3.606,4.223,4.324,4.428,4.583,4.557,4.469,4.78,5.029
10 69. Diagonal Mar i el Front Marítim del Poblenou,4.722,5.646,6.506,5.891,6.402,6.836,6.892,6.237,6.4,7.524,7.136
10 70. el Besòs i el Maresme,-,2.002,1.951,2.222,2.786,2.822,2.759,2.547,2.368,2.184,2.078
10 71. Provençals del Poblenou,-,3.069,3.397,3.31,3.194,3.362,3.407,2.994,3.122,3.319,3.699
10 72. Sant Martí de Provençals,-,-,2.273,2.547,2.759,2.926,3.022,2.867,2.864,2.975,2.974
10 73. la Verneda i la Pau,-,1.983,2.023,2.281,2.443,2.672,2.561,2.389,2.321,2.606,-
